RegionID,SizeRank,RegionName,RegionType,StateName,1/31/21,4/30/21,7/31/21,10/31/21,1/31/22,4/30/22,7/31/22,10/31/22,1/31/23,4/30/23,7/31/23,10/31/23,1/31/24,4/30/24,7/31/24,10/31/24
394386,239,Billings,msa,MT,1076.196824,1127.429438,1199.990301,1218.213938,1224.60854,1273.930181,1352.992586,1356.815024,1347.203177,1375.737235,1404.348677,1400.062618,1408.949165,1410.162872,1445.890284,1458.377982
394960,242,Panama City,msa,FL,1411.76199,1464.82307,1538.383111,1626.327814,1660.601695,1685.986812,1745.105695,1736.299313,1696.706763,1740.095421,1754.38881,1752.789733,1719.56636,1750.705315,1796.665195,1778.402051
394539,244,Dover,msa,DE,1241.934212,1321.772022,1386.597286,1466.548632,1454.056462,1464.457927,1505.313651,1517.32826,1571.941491,1526.234621,1573.094988,1588.803636,1628.904975,1661.823214,1639.302623,1650.533598
394299,251,Abilene,msa,TX,1009.195078,1027.021494,1054.561017,1105.453318,1082.346223,1128.789823,1159.237573,1182.673061,1178.288951,1213.692982,1217.44116,1229.317469,1212.294229,1234.416078,1253.396774,1278.422784
394651,259,Greenville,msa,NC,1104.048217,1143.458943,1180.970897,1230.321485,1234.619346,1300.822248,1344.70651,1363.459598,1387.608018,1409.709015,1451.837029,1470.056024,1480.593528,1479.666023,1512.723827,1565.534804
394553,263,East Stroudsburg,msa,PA,1361.425012,1402.136115,1486.253575,1488.356256,1558.961215,1646.404189,1661.407039,1674.702612,1723.97769,1764.68497,1744.16688,1763.370553,1850.213635,1807.727194,1831.088717,1846.541394
395079,274,Sebastian,msa,FL,1730.519344,1806.303401,1906.977943,1992.00352,2186.891252,2214.751608,2212.183692,2419.92046,2355.037298,2376.592786,2376.276499,2581.319312,2597.567915,2509.208947,2520.283473,2591.634065
394453,277,Chambersburg,msa,PA,855.260066,872.9503507,914.4724676,937.6097022,966.4932016,952.0843161,1011.647206,1002.205727,1028.452159,1027.624085,1075.012794,1082.294367,1105.523768,1086.529539,1130.794259,1149.314815
394703,279,Idaho Falls,msa,ID,966.5966019,1034.881654,1096.189747,1162.573449,1179.883051,1220.57098,1240.58244,1234.232009,1212.932219,1238.358807,1259.395156,1264.923245,1245.00672,1283.35496,1297.842694,1304.785403
394639,280,Grand Junction,msa,CO,1161.211838,1183.116667,1246.66483,1281.565744,1317.738764,1373.743446,1379.781639,1418.788981,1417.469084,1439.73546,1447.641213,1494.042535,1444.313911,1540.07577,1578.768663,1589.164457
395223,298,Wichita Falls,msa,TX,918.8548929,918.9104278,986.2753952,998.0532537,1015.58776,1050.952921,1097.013446,1105.423619,1091.887605,1133.748397,1153.400723,1149.847833,1161.249397,1171.299904,1202.085089,1186.990079
395232,308,Winchester,msa,VA,1356.85186,1399.393489,1476.514717,1522.280743,1533.193987,1591.23069,1633.40404,1656.930511,1653.233205,1686.13166,1733.454769,1721.550396,1765.033729,1786.113511,1849.10346,1850.874126
394668,317,Harrisonburg,msa,VA,1389.226107,1302.15392,1368.944015,1350.238849,1431.62181,1466.011208,1504.661009,1539.27008,1563.945322,1636.96158,1653.699726,1603.943796,1649.695859,1710.514327,1747.643929,1717.081197
394821,320,Manhattan,msa,KS,984.8862564,996.225719,993.2604408,1007.100476,1023.550713,1039.570931,1044.798906,1066.766389,1061.630431,1064.461377,1083.815454,1098.752884,1114.619338,1121.547797,1144.324767,1156.395886
394780,332,Lawton,msa,OK,770.5904947,779.6802153,817.5565267,811.7373591,828.2667022,931.9452676,918.8330227,937.279347,954.7934048,961.9812103,954.093946,983.7870355,982.3437841,995.6888111,1024.557679,1028.832323
394867,354,Missoula,msa,MT,1053.935556,1112.965923,1242.43637,1207.40176,1259.926805,1302.196553,1330.877105,1336.654783,1327.301386,1356.015688,1413.214944,1387.283972,1363.398342,1407.178306,1453.369631,1429.192613
753872,361,California,msa,MD,1397.235967,1448.600872,1525.547636,1576.310291,1540.785128,1553.544091,1601.515707,1589.933376,1563.978003,1607.173916,1683.960761,1683.793141,1681.406465,1768.976341,1800.623371,1776.391026
394462,391,Cheyenne,msa,WY,1139.650188,1146.566878,1187.032006,1222.925527,1227.1021,1254.783931,1277.984661,1293.310705,1288.536499,1309.833256,1323.904883,1337.40182,1348.686833,1370.378931,1386.186093,1394.016855
394925,428,Oak Harbor,msa,WA,1572.974108,1584.125203,1680.591625,1716.910768,1724.79387,1769.308802,1827.036851,1826.761172,1822.591577,1912.822464,1962.063204,1988.486455,1971.35219,1981.275039,2041.000512,2072.59623
394682,449,Hinesville,msa,GA,1120.156142,1156.432564,1253.654628,1332.315757,1417.273805,1438.936538,1485.018825,1527.156271,1524.666819,1541.096253,1523.120681,1514.989994,1569.304894,1586.855161,1694.292035,1669.922249
394571,585,Enterprise,msa,AL,1052.623992,1066.111557,1090.349046,1120.226557,1154.040195,1233.036446,1258.797327,1259.017808,1255.597297,1297.128538,1337.800184,1338.959063,1333.748035,1323.616553,1363.669275,1383.840909
