RegionID,SizeRank,RegionName,RegionType,StateName,1/31/15,4/30/15,7/31/15,10/31/15,1/31/16,4/30/16,7/31/16,10/31/16,1/31/17,4/30/17,7/31/17,10/31/17,1/31/18,4/30/18,7/31/18,10/31/18,1/31/19,4/30/19,7/31/19,10/31/19,1/31/20,4/30/20,7/31/20,10/31/20,1/31/21,4/30/21,7/31/21,10/31/21,1/31/22,4/30/22,7/31/22,10/31/22,1/31/23,4/30/23,7/31/23,10/31/23,1/31/24,4/30/24,7/31/24,10/31/24
394661,325,Hammond,msa,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,983.8939128,1034.908767,1055.168863,1078.635447,1074.496607,1058.921275,1066.626862,1094.880567,1101.654963,1098.813078,1104.297175,1128.813123,1126.879808
394983,326,Pittsfield,msa,MA,,,,,,,,,,,,,,,,,,,,,,,,,,1150.516547,1218.565776,1279.94718,,1270.849421,1309.52885,1358.126762,1425.30054,1455.569288,1440.150261,1465.414984,1523.935261,1523.696904,1592.957576,1517.407407
394890,327,Mount Vernon,msa,WA,,,,,,,,,,,,,,,1512.725852,1500.959268,1489.696869,1556.12566,1573.31405,1581.420837,1565.527045,1620.30432,1684.840417,1718.461131,1708.525307,1823.233379,1899.121668,1947.131793,2014.433996,2029.541199,2112.551716,2086.945434,2110.549235,2117.226958,2165.834292,2155.259574,2192.991438,2229.326314,2296.97264,2270.942857
395153,329,The Villages,msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708.937092,1814.492872,1876.709755,1972.53464,2068.313968,1960.0535,1995.255066,2036.738595,2129.634285,2067.164508,2076.49982,2101.529078
394307,330,Albany,msa,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,1216.522098,1246.773369,1300.604736,1349.326551,1381.592444,1443.236862,1435.023628,1472.019512,1455.517312,1489.772293,1505.358907,1495.458266,1511.617263,1559.226974
394633,331,Glens Falls,msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466.997952,1455
394780,332,Lawton,msa,OK,666.8547671,672.7128722,673.2714434,675.6505285,668.5268556,662.880156,686.0250103,674.6186803,674.3908429,679.6613224,683.210399,690.9946849,685.2160129,693.3366174,690.2656881,703.9236553,703.1728787,700.6960208,710.7266499,713.299678,718.4234955,720.8388156,726.9370688,760.3523182,770.5904947,779.6802153,817.5565267,811.7373591,828.2667022,931.9452676,918.8330227,937.279347,954.7934048,961.9812103,954.093946,983.7870355,982.3437841,995.6888111,1024.557679,1028.832323
394474,334,Cleveland,msa,TN,,,,,,,,,,,,,,,,,,,,,,,,,1061.390634,1096.792719,1168.007634,1202.873622,1228.508567,1287.526969,1341.027792,1334.943207,1360.798243,1391.936325,1380.104432,1409.806245,1415.505126,1390.139887,1415.527021,1429.157407
395098,335,Sierra Vista,msa,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238.13728,1219.129268,1217.532343,1295.656327,1278.785214,1267.513559,1281.382904,1328.479831,1326.355725,1327.597804,1343.824009
394325,336,Ames,msa,IA,,,,,,,,,,,,888.2193496,897.674779,882.7899451,880.8846809,861.693687,890.1528966,892.8260265,898.6047979,871.1297437,904.421839,903.9327843,886.8820127,912.1701516,950.2882095,918.4636142,935.0262553,938.5974516,961.3396834,975.2610276,978.2755681,981.1673941,1005.513226,1016.287556,1009.05914,1027.065988,1066.960455,1052.764681,1075.074997,1092.573232
394824,337,Mansfield,msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.5327485,776.9561946,797.3831568,834.1552059,871.6530022,885.4166667
