RegionID,SizeRank,RegionName,RegionType,StateName,1/31/15,4/30/15,7/31/15,10/31/15,1/31/16,4/30/16,7/31/16,10/31/16,1/31/17,4/30/17,7/31/17,10/31/17,1/31/18,4/30/18,7/31/18,10/31/18,1/31/19,4/30/19,7/31/19,10/31/19,1/31/20,4/30/20,7/31/20,10/31/20
394595,302,Flagstaff,msa,AZ,275893.3554,282688.5398,288237.0563,292941.7294,297507.5308,301810.3351,306551.9277,312905.361,318684.2365,329967.7903,334427.4629,336845.3708,340116.3009,347380.1687,353498.6655,354713.4054,357754.9219,366227.7324,368936.9434,372492.2771,379252.6599,389981.1755,390844.0167,405809.4652
395036,303,Rocky Mount,msa,NC,97187.45471,97248.50633,98793.12026,98563.99881,99522.76863,99935.47974,98499.73353,99180.70535,101124.6973,102497.9754,103187.5738,104815.5276,105972.7534,107460.8815,108321.5696,109989.7565,112134.1554,113352.6397,113674.7578,114938.1718,117883.5441,120401.0362,122981.7737,129563.2185
395232,308,Winchester,msa,VA,203853.3546,205497.0142,209637.7431,212153.7536,213728.6646,215797.4726,217466.8392,219705.4887,222661.6731,225803.1068,228986.2612,231513.819,234018.4558,237075.8308,239008.1613,240034.4665,241483.4115,247041.3949,249769.4309,251594.5524,254319.439,258382.7929,259340.811,267340.785
395221,309,Wheeling,msa,OH,98235.32963,101149.849,103596.588,103925.7958,104587.9389,104328.1272,103386.0987,103752.2158,104007.3026,103692.1933,103730.4413,104312.994,105744.6066,107989.0109,109997.4937,111873.2337,112914.7819,112227.5714,113031.6467,113898.006,114378.38,116614.7067,119201.1728,123945.7926
394900,312,Napa,msa,CA,523598.0309,537151.5876,547032.3992,561014.4856,582544.4409,596612.6433,602699.3945,606814.3361,624036.596,634433.7874,643400.1724,647579.7554,661848.1233,670360.485,678953.2231,681337.6658,687242.3879,691406.089,694879.8353,699383.3299,701456.5013,710403.946,706078.0104,724542.066
395117,316,Springfield,msa,OH,90477.66874,90011.7798,91479.25522,92031.97452,93050.24979,93954.71767,94652.05778,96644.56426,98746.93705,99613.54388,100297.6336,102123.5391,104023.8585,105454.3823,107477.2252,108867.1278,111123.7002,113316.3199,114214.1789,115889.9246,118427.3042,121255.2352,123021.9491,128282.2252
394368,318,Battle Creek,msa,MI,84563.09642,85179.1675,87041.85744,88065.94006,89785.66825,91990.25813,92393.4991,93907.36302,96964.18253,98844.17736,99295.84027,101942.2176,102870.3645,102480.9014,100762.3149,105584.6833,109313.7474,113137.9434,116563.4486,118533.8802,121807.4694,122505.4495,124433.4268,130624.6486
394728,323,Jonesboro,msa,AR,117580.4573,117885.7999,118579.2245,120016.1556,120986.7795,121700.1757,122334.7745,123976.9068,124442.6636,124859.4299,125951.2663,127332.546,129015.3996,130532.345,131709.2704,132588.8927,133506.0578,135833.0674,138328.7227,139192.1589,140470.2863,141783.4418,144870.2027,148865.4716
394983,326,Pittsfield,msa,MA,199657.0422,199836.2791,201251.9272,203623.9618,206218.7062,206139.0884,206443.8827,207010.6239,208295.3172,208552.4879,210660.485,212824.6846,215153.8785,217192.6728,217968.7654,221575.8104,222243.8597,223373.3585,226854.7866,228974.6292,232059.2576,235035.8197,237307.0351,246801.507
394890,327,Mount Vernon,msa,WA,241309.3797,246234.4816,253369.3268,261746.4601,270535.4502,278365.616,284827.1961,291066.5795,298249.6196,306813.2337,314634.5084,322253.2702,329209.9348,338726.251,348278.8447,355323.4186,359236.6499,364684.6756,369694.8269,376797.5104,385564.3884,396095.7144,403093.6992,422391.1751
394719,328,Jamestown,msa,NY,84847.68412,85149.9093,86736.82271,87668.42691,88812.40317,88830.28473,90005.97306,91061.88972,91991.8215,91817.08174,91984.39795,93467.74366,94118.9268,94354.59335,95240.16645,97087.67778,97018.79045,98353.81319,99932.29892,102693.3819,104674.1658,105747.3678,108083.1349,113525.1112
395153,329,The Villages,msa,FL,251639.2418,254565.4666,256217.8225,257374.076,254757.9992,252031.9981,251563.9643,251803.9868,252854.8334,254447.0346,255238.0364,256951.5065,259717.4476,263472.7967,267221.3653,272487.7437,277486.4455,281909.7119,284560.8605,288304.5069,291365.4336,293833.4535,295455.2443,300381.0696
394474,334,Cleveland,msa,TN,134576.913,135979.035,138394.8897,141124.8591,142657.9774,144269.0147,145923.0446,148676.3849,151693.3929,153395.6652,154518.5399,156961.0729,159655.487,163270.2714,165410.2513,167747.9355,169314.2528,172161.1905,175059.0078,177562.4029,181900.833,185200.8026,188772.0414,196503.3644
394353,339,Augusta,msa,ME,137978.8048,137982.532,141324.0048,143258.7346,143544.5855,144314.3796,145113.649,145684.4052,147635.9212,149617.4646,152005.2916,153643.4751,155214.8255,157829.3812,160296.4339,163057.2344,164300.1358,167165.9105,168498.9081,171637.4231,175453.1682,178647.149,183291.6133,194104.6227
