RegionID,SizeRank,RegionName,RegionType,StateName,1/31/15,4/30/15,7/31/15,10/31/15,1/31/16,4/30/16,7/31/16,10/31/16,1/31/17,4/30/17,7/31/17,10/31/17,1/31/18,4/30/18,7/31/18,10/31/18,1/31/19,4/30/19,7/31/19,10/31/19,1/31/20,4/30/20,7/31/20,10/31/20,1/31/21,4/30/21,7/31/21,10/31/21,1/31/22,4/30/22,7/31/22,10/31/22,1/31/23,4/30/23,7/31/23,10/31/23,1/31/24,4/30/24,7/31/24,10/31/24
394913,1,"New York, NY",msa,NY,407744.5604,409017.1627,412778.2402,420015.4036,426662.1552,429690.6762,433786.5993,435524.1542,441981.5285,449815.1272,456181.4293,461150.436,466155.6586,471355.4681,478511.9956,483358.4348,485878.5958,491592.6522,494990.1142,495244.5467,500297.5296,507442.7354,508722.538,513407.1615,531031.1723,548911.4825,563750.3553,569991.6595,581598.3865,599085.2623,615727.5694,611381.4494,607110.711,608077.4123,619883.2478,628259.0134,636222.1998,651762.2556,662237.5036,673519.053
753899,2,"Los Angeles, CA",msa,CA,502650.7643,504921.7718,507532.6411,500086.007,495626.3714,525210.1775,535986.7496,521564.6028,530082.604,564641.2007,577268.8845,580108.1964,595643.9172,616790.7248,628422.4915,648758.6499,654692.6964,635916.8421,633003.1891,649509.4422,664178.0866,667424.6508,663362.1667,692012.7029,729038.9668,744710.4004,777865.9601,800396.477,830693.0797,875329.3195,894945.6456,881002.6001,865905.234,842967.1811,865646.9748,904109.1482,918152.6998,917555.3753,931734.3332,948517.6946
394463,3,"Chicago, IL",msa,IL,194590.391,195971.2803,198356.6399,200930.2354,204431.4443,207166.2227,209022.2485,210624.9512,214049.992,218289.2471,219926.7629,221751.3292,225597.7781,229718.842,230817.3833,230974.1403,232750.3961,235990.3916,236429.0595,235651.4118,237600.3105,241219.7492,240378.1037,244713.141,253727.8295,263581.6001,271799.1858,273604.7526,278355.304,291493.9546,297381.7647,293747.7656,291952.3027,294130.9134,301409.7991,307042.7517,309242.532,315872.7315,319927.2879,322812.9938
394514,4,"Dallas, TX",msa,TX,171690.5676,176027.9243,180829.4853,186436.7999,192119.9747,197704.2755,202817.7786,207576.6315,213231.9732,218950.1858,224033.3764,228200.8686,233568.6612,238814.5584,242447.9266,244410.5953,246479.4281,248758.6899,249101.7596,250388.9673,254029.8248,257763.1751,257895.7456,264753.5979,275668.1198,289079.2265,306117.9167,317051.3707,333125.3562,359896.6098,379322.8289,376273.6183,369908.4984,365584.3634,367651.5613,369093.3647,368653.2837,371238.456,369792.6332,368846.5122
394692,5,"Houston, TX",msa,TX,174569.7225,179370.5093,183396.5762,186867.2663,189899.5195,192309.0195,194056.1313,195570.1423,197794.3641,199499.5275,201113.6825,202573.2053,204792.7989,206852.3601,209580.0905,211804.3271,214101.5644,216319.013,217382.7596,218827.8415,221571.1254,223705.3914,224056.8541,229096.1869,237052.5293,246159.2418,258056.733,265794.1782,276988.1904,293824.9029,306574.9981,307271.3131,303705.7687,300434.4841,302315.8665,303572.532,302870.3271,305236.8429,305289.4547,304813.8481
395209,6,"Washington, DC",msa,VA,370259.6321,372331.7658,373048.889,376176.526,380181.2644,381724.8383,382005.3643,383412.1023,389090.9282,394125.1336,395119.2774,397691.4245,402666.3569,407026.4915,409827.7026,412891.3356,415670.437,420981.3035,423448.5081,425647.191,431645.0223,439479.051,441351.9933,453061.4221,469684.8778,487200.7586,503066.8697,503595.3611,510481.4998,532231.3694,542332.3136,531456.9494,528332.7754,529725.792,539276.2733,544872.4645,546508.6332,555155.2392,560830.4915,564858.7
394974,7,"Philadelphia, PA",msa,PA,204636.9156,206106.0205,207964.05,210576.9718,212264.6516,213752.5874,215592.1392,218006.2726,220494.5952,222544.339,225169.7884,227139.2711,230444.4335,233560.4466,234595.6923,236292.024,238727.9052,242050.5684,243968.337,245721.8075,249658.2818,255632.5195,257651.7523,264235.4041,276571.4327,287924.8024,297989.6044,298546.5737,303702.9777,318536.751,328594.2277,327019.9434,327502.061,330534.9466,339232.4372,345844.2743,349573.8211,356146.7429,359482.4282,362689.2449
394856,8,"Miami, FL",msa,FL,210722.9406,215595.4383,220910.543,226980.9577,232245.1339,237138.9384,242270.5992,247265.1909,251188.7546,256599.2524,261160.8755,265956.9484,271571.2273,275271.0359,279609.1092,283784.6361,288278.1584,290433.8192,290369.0771,292639.7397,298683.5922,303694.724,303224.8438,310273.8491,322158.8257,334210.1135,351373.6172,365268.5214,383387.0596,413656.7123,440096.056,446763.7308,449355.9446,451749.4018,461527.7069,470985.9814,478931.7568,484981.0715,487420.6097,487054.3169
394347,9,"Atlanta, GA",msa,GA,167266.4985,170076.5155,173495.7648,177226.3735,181157.0207,184979.8767,187898.5388,190319.3413,194785.3832,199139.8535,202579.3223,206147.4113,211627.4653,216887.6827,220852.5172,225272.3919,229926.2217,233606.5907,235519.733,237753.9242,242352.9026,246886.7834,248091.2475,256105.2809,268552.8991,282736.2783,299180.3034,311668.6146,330056.8705,353937.4673,369331.3798,367749.8177,363148.6285,361964.4604,366856.9848,371542.7835,373688.7556,377872.7933,379021.9867,378257.0165
394404,10,"Boston, MA",msa,MA,369656.1897,376557.8672,380769.4116,388460.2264,396765.3709,403139.5164,408624.2279,413155.5471,422061.6667,429898.6219,438092.2174,444107.8158,450563.2812,459214.7399,467565.8024,472057.0514,471834.3207,474641.4925,477351.8929,477998.1921,483646.3416,492891.2566,496387.2573,510695.0885,532825.187,554094.5434,573920.12,573276.3332,581581.3528,612944.161,631949.2597,619955.5463,615532.1535,618072.943,637181.2131,653640.5185,661723.2437,674875.6803,684180.6952,689653.3702
394976,11,"Phoenix, AZ",msa,AZ,203918.0795,207039.6865,211795.6916,217612.0112,223929.5395,228441.4095,231314.1044,234559.8192,237861.8551,242067.3088,246407.8027,250804.0803,254865.6327,260233.1597,265835.8932,271021.5016,274796.1394,278976.6037,281534.0214,285901.8406,292996.675,303192.9399,308565.1378,321193.5218,338466.7739,360102.0686,392224.1062,417281.9537,437318.4452,465319.1734,488597.4599,473297.1723,448810.2942,437706.2626,442335.5058,449626.1636,452424.2543,456118.9971,456779.3428,453925.321
395057,12,"San Francisco, CA",msa,CA,658699.3913,684489.5582,708053.8034,731615.2519,755931.2695,777665.9322,775632.733,774232.8841,789840.6939,808057.3812,820679.3088,837335.0719,869386.2901,898761.9387,919146.815,924028.424,921846.3511,912374.6032,912056.8999,917556.2161,925278.9995,940626.6229,932426.5937,955291.0163,995699.5145,1038285.621,1092027.49,1104503.729,1135321.333,1218091.615,1220969.583,1147257.248,1104507.469,1081894.577,1095744.909,1116141.808,1111220.069,1125522.355,1145914.3,1139953.675
395025,13,"Riverside, CA",msa,CA,276126.5537,279357.7069,284849.45,288427.3921,291094.9297,298865.2686,304442.4481,302735.1167,299895.8603,314950.7308,324383.4123,334871.889,346840.1465,351253.1305,355331.6976,361179.5048,365400.6741,366729.7512,365871.223,369763.0092,377910.7977,382257.1527,382967.6753,396679.8857,420869.6102,442883.8118,471174.0595,490857.5814,512540.2145,543786.9784,562244.3215,553417.8425,543411.1088,534335.1698,541889.4424,553933.5887,562426.1006,567336.4836,573247.1776,576916.9101
