RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2010,4/30/2010,7/31/2010,10/31/2010,1/31/2011,4/30/2011,7/31/2011,10/31/2011,1/31/2012,4/30/2012,7/31/2012,10/31/2012,1/31/2013,4/30/2013,7/31/2013,10/31/2013,1/31/2014,4/30/2014,7/31/2014,10/31/2014,1/31/2015,4/30/2015,7/31/2015,10/31/2015,1/31/2016,4/30/2016,7/31/2016,10/31/2016,1/31/2017,4/30/2017,7/31/2017,10/31/2017,1/31/2018,4/30/2018,7/31/2018,10/31/2018,1/31/2019,4/30/2019,7/31/2019,10/31/2019,1/31/2020,4/30/2020,7/31/2020,10/31/2020
395194,38,Virginia Beach,msa,VA,224314.7975,224445.5619,222757.1298,218599.8271,215367.7763,212184.087,208879.1713,206301.4432,204043.6611,205060.8017,206874.8288,207447.3411,208640.1773,209644.1254,211135.8485,211999.0777,211508.6947,211504.6905,213942.9388,214585.0452,214609.1395,215173.027,216963.6567,219504.3295,221343.7115,221588.6083,221752.0199,222835.2223,225058.0338,226604.0124,227848.5973,228968.1526,230598.2411,232363.2044,233396.0528,234617.4954,235801.1124,238360.3572,239892.8393,241905.4618,246026.6509,249440.8463,250913.1776,258776.4376
395005,39,Providence,msa,RI,237781.1971,239439.7639,239609.7702,236902.4182,233291.7191,229888.8823,225847.5755,222339.8419,218164.1772,216943.9799,217587.1341,217499.9246,218569.6486,221948.6786,226260.1753,228990.258,230794.2375,233982.0359,236570.6077,236999.8548,238073.3334,240795.8778,243191.0027,247093.4728,251742.936,255092.5473,259136.1598,262698.1498,267863.9247,273321.8059,278465.2062,281780.0635,286319.2097,290798.2992,295600.8714,299265.3145,299857.9112,303060.8378,305848.7245,307656.4845,313055.4095,319928.2974,321893.8827,332814.4944
394714,40,Jacksonville,msa,FL,166114.4735,163044.4152,161435.2978,155978.2909,150025.102,145465.0953,140202.8673,136589.5833,135439.2363,135595.2584,135978.2227,136153.4129,139348.2871,142642.6564,147663.2314,152455.9069,156494.7696,160359.2444,162347.5193,163506.2485,165860.6727,167586.8152,170556.9758,174577.6826,177585.9912,180533.5432,183946.2615,187836.159,190941.8729,194493.5987,198442.709,202993.836,207073.9261,211259.9255,215843.3502,220066.2555,223591.5283,226111.2963,228220.8542,230232.2878,234000.0313,238324.1248,239437.3651,245909.6769
394862,41,Milwaukee,msa,WI,193301.9957,196523.4519,195748.5305,187943.349,182158.7213,177907.976,173801.81,171725.5899,170125.8259,169038.2559,169219.7538,169740.7769,170716.8085,172538.1616,174839.83,177417.32,179447.0943,182579.8117,184660.3987,184203.1704,184517.0001,186228.0891,187859.942,190160.902,193570.148,196314.3612,198584.2465,200731.2627,204766.6894,207385.0794,210491.104,212427.452,215582.5727,219716.8513,223656.9724,225601.9525,227476.2347,232795.1488,235321.9002,237013.3172,240653.298,245792.3018,248077.9263,253915.2593
394935,42,Oklahoma City,msa,OK,128054.6777,129068.3824,129224.5978,127822.6707,126415.2857,126161.0419,125022.5967,124809.1262,124224.5932,123836.7471,124374.3406,125167.4462,126686.9829,127094.5792,127996.2835,129406.3862,131039.8194,131459.5123,133464.3631,135262.2519,137393.5336,138436.2788,139628.9977,140830.5713,140372.2354,142016.9453,143595.5643,144724.3086,144247.4734,145056.6981,146412.3505,147680.7015,150594.5948,151599.3481,151903.3486,153080.674,154991.0402,156655.9182,158096.6397,159617.6628,163022.6873,165489.0235,166101.3218,170701.8948
395012,43,Raleigh,msa,NC,207991.6735,208477.8533,208136.6749,204797.2773,202622.5341,199806.5153,196643.9311,194388.0289,192592.2372,193055.7081,194261.7835,195309.8129,196579.8369,198611.0059,201670.1811,204812.8482,206878.2421,209890.2025,212442.5242,214086.389,216794.1124,220353.1707,223368.1678,227777.7021,232759.1081,236554.246,240130.3893,243567.2785,247949.3134,252173.7306,255388.5498,258205.1879,261863.5967,265865.624,268842.9835,272271.0587,275884.0735,279749.8433,281699.3623,284094.1322,288168.8555,291983.4379,294075.9549,302082.8359
394849,44,Memphis,msa,TN,114944.98,114836.7767,114716.1931,112844.8685,110851.4781,108952.4483,108136.5524,107294.8626,106495.302,108062.7226,109580.9375,109593.0205,108034.12,108782.0372,110168.9184,111309.4136,113321.2104,115661.7407,117893.783,118160.4834,119157.3907,120164.9332,121953.7998,123383.4371,124901.2314,125914.3409,126387.1755,128308.9523,130759.1335,132596.9818,134639.2337,137540.2037,140568.1194,142868.1454,145389.0345,148158.2136,151650.7894,154416.0173,156727.5815,159204.5851,163131.6451,166863.7089,170047.8346,176422.0267
394807,46,Louisville,msa,KY,136912.5124,136771.5328,136369.0921,135279.3401,133191.4615,131512.1254,129813.8184,129160.1848,129102.1064,129769.2005,131082.492,130708.1663,131924.7084,131784.3198,133497.0893,135551.6744,136680.0297,137232.1423,139542.3899,140837.7096,141930.9811,142752.1487,144652.1964,146607.6329,148329.7212,149864.6651,151697.2421,154183.5425,157325.2877,159312.7631,162078.0,164409.1391,163565.7502,168727.9024,172060.0333,174624.6999,177529.4512,181590.8616,183845.9629,185305.5322,188643.9164,191125.5231,192914.8133,199246.3041
394910,47,New Orleans,msa,LA,200085.7655,199124.0721,199321.281,198316.8756,195790.8621,193454.9514,192403.246,190249.1874,188837.9357,188373.0228,189867.5254,189483.6476,190066.3463,190331.3875,192390.8207,193866.0409,192327.4388,192120.4716,194854.8624,195743.3848,199380.2755,202077.4996,204898.3012,207110.6335,209157.2839,209626.4477,212318.8104,214234.3153,213605.4801,212266.6619,211310.2573,213527.4644,216176.4133,217564.8747,214640.3368,216199.9589,217532.3858,223603.5628,226802.8113,228547.1285,232026.535,237592.9448,237457.9261,241962.7368
395053,48,Salt Lake City,msa,UT,217484.6103,217021.0167,214760.7137,208969.9475,203163.6792,197944.2089,194692.8637,192137.6609,190613.5703,193515.6918,199357.3535,204635.7431,211698.5893,218575.8479,227913.091,234863.1753,237682.633,240266.9291,241594.9449,242439.4976,245072.8472,249252.516,254313.5754,262600.8897,269999.2989,274832.4328,280718.5415,284358.1683,288961.7857,297686.1194,304516.4866,311276.2659,318638.2035,326089.6648,331934.685,339378.5948,345192.3317,351986.0907,353595.2864,358302.506,367525.1655,379329.7465,382822.3109,397809.8934
394669,49,Hartford,msa,CT,227034.0304,226815.8557,229003.2509,226624.9233,222011.1329,218536.9647,215149.4739,211126.3829,208149.8175,208312.987,208111.0735,206781.5891,207397.9516,209223.8759,210141.6903,210198.5134,210892.1092,211994.1719,213034.5825,211544.0285,211388.9484,211761.8541,212810.5958,213704.1954,214456.8268,214806.5203,215623.4107,216118.6068,217845.9585,218900.6152,221019.4618,222279.7064,223876.7934,224337.4886,224095.8083,224995.6215,224749.6008,226024.6161,226753.056,226973.1375,228999.7545,233388.081,234499.5031,240798.8634
394425,50,Buffalo,msa,NY,120217.0119,120972.2163,122742.1369,121832.5357,121449.8305,121197.3483,120528.7603,120242.7255,119276.3787,120259.9974,120892.4115,120818.0201,121093.8233,123068.1371,124620.976,125208.1924,126388.7838,127629.467,129335.1402,129768.4965,129945.6302,130874.9207,132845.9506,135498.8383,136699.973,137795.5015,139030.587,141496.2732,144119.0055,145463.753,148170.5085,150865.2551,153998.9561,156659.2811,159834.4686,162250.9708,162703.1924,165140.4644,167529.5539,169551.4109,171602.5866,174009.218,177189.5121,183892.1223
394388,51,Birmingham,msa,AL,139503.8295,139331.6555,138393.642,135226.996,132447.3933,132381.4656,131373.9307,131052.3882,128091.3122,128155.7925,130449.9815,132229.0163,133802.2586,134783.2797,137221.4116,138752.69,139747.9809,140632.2428,142591.2712,143743.1942,144300.349,144982.8567,146632.788,148047.6254,150231.2709,151515.3739,151833.5219,152981.3966,154984.3491,156013.304,156948.3911,159227.5215,161418.8494,163222.9289,164614.1417,166857.7071,169589.0408,173118.7708,174720.6272,176722.8217,181395.0505,185606.9481,187534.2351,193198.8976
395031,52,Rochester,msa,NY,127619.8088,128622.8696,130086.8265,127696.8719,126425.2402,126118.76,124682.5037,124471.103,124200.3016,123954.2199,122867.5178,123192.3932,124034.3157,125366.7645,125537.3019,125917.8576,127187.4531,127978.7496,128019.3421,128184.493,129022.3568,129606.0366,130229.5777,132480.1864,134008.953,136831.5467,140294.9145,142117.9996,144640.2921,145474.0037,147200.4918,145565.9082,144759.3798,144973.1352,146292.2857,148956.5401,150055.3322,152140.3966,153934.666,156112.2231,158524.7528,160523.1432,163522.4114,170578.0876
394640,53,Grand Rapids,msa,MI,127781.6779,127618.0647,127746.963,124835.4138,122175.3552,121014.1955,120004.7447,119979.061,119720.8842,121162.557,122870.3766,125013.1122,127698.8759,130822.3488,134222.9837,137210.7938,139908.9347,142792.4444,145614.5129,147381.7032,149534.6587,151964.3269,155337.1192,158045.8659,161819.3723,165692.9728,169676.4539,172886.0335,176897.3111,181492.1314,186615.0903,188342.1778,191741.8476,195655.7045,199887.1268,202486.1159,204512.183,208527.0903,211667.5762,213646.6688,217041.6037,221474.3036,224353.9406,231918.778
